CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,ANIO,TIPO_DE_DELITO,ID_Categoria,CATEGORIA,INCIDENCIA,POBLACION,TASA
21119,21,119,San Andrés Cholula,2015,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,1,116347,1.16
21119,21,119,San Andrés Cholula,2016,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,3,116347,3.49
21119,21,119,San Andrés Cholula,2017,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,3,116347,3.49
21119,21,119,San Andrés Cholula,2018,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,5,116347,5.82
21119,21,119,San Andrés Cholula,2019,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,11,116347,12.8
21119,21,119,San Andrés Cholula,2020,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,6,154448,9.27
21119,21,119,San Andrés Cholula,2021,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,11,154448,16.99
21119,21,119,San Andrés Cholula,2022,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,5,154448,7.72
21119,21,119,San Andrés Cholula,2023,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,17,154448,26.26
21119,21,119,San Andrés Cholula,2024,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,21,154448,32.43
21119,21,119,San Andrés Cholula,2025,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,13,154448,20.08
21140,21,140,San Pedro Cholula,2015,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,2,129000,2.58
21140,21,140,San Pedro Cholula,2016,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,5,129000,6.45
21140,21,140,San Pedro Cholula,2017,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,0,129000,0
21140,21,140,San Pedro Cholula,2018,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,4,129000,5.16
21140,21,140,San Pedro Cholula,2019,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,9,129000,11.61
21140,21,140,San Pedro Cholula,2020,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,9,138433,12.46
21140,21,140,San Pedro Cholula,2021,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,5,138433,6.92
21140,21,140,San Pedro Cholula,2022,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,5,138433,6.92
21140,21,140,San Pedro Cholula,2023,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,12,138433,16.61
21140,21,140,San Pedro Cholula,2024,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,9,138433,12.46
21140,21,140,San Pedro Cholula,2025,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,5,138433,6.92
21034,21,034,Coronango,2015,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,2,40949,0.82
21034,21,034,Coronango,2016,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,40949,0
21034,21,034,Coronango,2017,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,1,40949,0.41
21034,21,034,Coronango,2018,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,40949,0
21034,21,034,Coronango,2019,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,40949,0
21034,21,034,Coronango,2020,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,46836,0
21034,21,034,Coronango,2021,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,46836,0
21034,21,034,Coronango,2022,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,46836,0
21034,21,034,Coronango,2023,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,46836,0
21034,21,034,Coronango,2024,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,1,46836,0.47
21034,21,034,Coronango,2025,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,46836,0
21040,21,040,Cuautinchan,2015,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,10179,0
21040,21,040,Cuautinchan,2016,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,10179,0
21040,21,040,Cuautinchan,2017,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,10179,0
21040,21,040,Cuautinchan,2018,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,10179,0
21040,21,040,Cuautinchan,2019,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,10179,0
21040,21,040,Cuautinchan,2020,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,12340,0
21040,21,040,Cuautinchan,2021,"Corrupción, Tráfico de menores y rapto",2,Vulneración de libertad,0,12340,0
